Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Training Stress Score®,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2024-07-28 08:53:34,false,"Wandsworth Running","8.90","611","00:53:24","171","184","4.3","160","172","6:00","4:57","36","67","1.04","0.0","No","00:04:30.5","2","00:52:34","01:02:42","-1","39"
Running,2024-07-26 12:53:11,false,"Wandsworth Running","6.66","449","00:39:05","168","187","4.0","164","171","5:52","4:59","13","32","1.04","0.0","No","00:39:05","1","00:38:59","00:41:17","15","39"
Running,2024-07-24 19:40:18,false,"Wandsworth Running","8.00","548","00:51:26","155","169","3.7","160","168","6:26","5:14","25","29","0.97","0.0","No","00:51:26","1","00:50:55","00:56:17","27","40"
Treadmill Running,2024-07-23 20:21:54,false,"Treadmill Running","2.56","186","00:19:46","142","157","2.3","154","165","7:43","5:57","--","--","0.97","0.0","No","00:09:06.5","2","00:19:38","00:19:46","--","--"
Running,2024-07-22 19:21:11,false,"Wandsworth Running","4.17","218","00:18:51","153","193","3.5","168","200","4:31","2:55","1","4","1.32","0.0","No","00:18:51","1","00:18:31","00:34:00","29","33"
Running,2024-07-21 10:47:35,false,"Wandsworth Running","14.95","1,000","01:35:21","159","187","4.6","164","173","6:23","4:32","78","102","0.96","0.0","No","01:35:21","1","01:35:04","01:44:14","-0","37"
Running,2024-07-19 08:51:23,false,"Wandsworth Running","5.00","340","00:31:09","156","172","3.4","162","173","6:14","5:27","20","29","0.99","0.0","No","00:31:09","1","00:30:54","00:33:03","21","41"
Running,2024-07-17 18:43:10,false,"Wandsworth Running","5.78","373","00:34:08","150","178","3.4","161","169","5:54","4:47","23","28","1.05","0.0","No","00:34:08","1","00:33:50","01:04:10","27","45"
Running,2024-07-15 19:20:53,false,"Wandsworth Running","4.08","174","00:17:15","141","164","2.9","167","190","4:14","3:26","3","7","1.42","0.0","No","00:17:15","1","00:16:50","00:33:51","29","34"
Running,2024-07-15 19:11:41,false,"Wandsworth Running","0.41","29","00:02:33.0","135","148","1.2","153","167","6:11","5:32","--","--","1.06","0.0","No","00:02:33.0","1","00:02:11","00:02:33.0","29","33"
Running,2024-07-14 12:18:03,false,"City of Westminster Running","10.05","694","01:05:00","156","174","4.0","165","176","6:28","4:38","81","85","0.94","0.0","No","01:05:00","1","01:04:38","01:06:50","4","34"
Running,2024-07-13 09:56:21,false,"Wandsworth Running","5.00","344","00:28:34","168","185","3.9","164","173","5:43","4:25","7","19","1.07","0.0","No","00:28:34","1","00:28:27","00:29:42","23","39"
Running,2024-07-11 20:38:48,false,"Wandsworth Running","7.05","481","00:42:06","162","180","4.0","158","169","5:58","5:06","29","31","1.06","0.0","No","00:42:06","1","00:41:30","00:43:41","28","45"
Running,2024-07-08 19:10:33,false,"Wandsworth Running","5.24","304","00:24:48","162","197","3.7","166","187","4:44","3:35","3","4","1.27","0.0","No","00:24:48","1","00:24:15","00:44:00","29","34"
Running,2024-07-07 10:05:44,false,"Wandsworth Running","16.91","1,144","01:46:49","161","182","5.0","166","177","6:19","5:13","84","86","0.95","0.0","No","01:46:49","1","01:45:43","01:58:35","2","71"
Running,2024-07-03 19:14:05,false,"Lambeth Running","4.95","313","00:28:16","151","178","3.4","163","171","5:43","4:29","15","27","1.07","0.0","No","00:28:16","1","00:27:59","00:30:18","27","44"
Running,2024-06-29 09:31:16,false,"Madrid Running","6.28","410","00:38:04","155","175","3.4","163","214","6:04","4:10","76","65","1.01","0.0","No","00:38:04","1","00:37:41","00:47:44","645","681"
Running,2024-06-26 18:38:43,false,"Wandsworth Running","6.01","410","00:34:42","172","185","4.1","162","169","5:46","4:43","22","28","1.07","0.0","No","00:34:42","1","00:34:33","00:35:10","27","45"
Running,2024-06-24 19:31:37,false,"Wandsworth Running","3.73","227","00:17:39","171","195","3.7","166","179","4:44","3:56","3","4","1.27","0.0","No","00:17:39","1","00:17:33","00:25:05","29","33"
Running,2024-06-21 12:19:20,false,"Wandsworth Running","5.01","340","00:29:40","166","190","3.6","163","174","5:56","4:35","15","23","1.04","0.0","No","00:29:40","1","00:29:11","00:31:00","21","45"
Running,2024-06-19 18:34:23,false,"Wandsworth Running","11.09","762","01:09:54","163","179","4.5","161","170","6:18","4:45","43","75","0.99","0.0","No","01:09:54","1","01:09:23","01:15:18","2","71"
Running,2024-06-17 19:17:19,false,"Wandsworth Running","3.84","219","00:18:18","162","196","3.8","166","183","4:46","3:46","2","3","1.27","0.0","No","00:18:18","1","00:18:01","00:36:17","29","33"
Running,2024-06-14 17:10:45,false,"Wandsworth Running","7.00","510","00:41:41","173","187","4.8","165","174","5:57","4:44","25","33","1.02","0.0","No","00:41:41","1","00:41:19","00:43:59","18","41"
Running,2024-06-12 19:18:27,false,"Wandsworth - Base","4.87","314","00:27:15","163","185","3.6","165","181","5:36","3:55","21","27","1.09","0.0","No","00:27:15","1","00:27:05","00:30:23","23","45"
Running,2024-06-10 19:12:42,false,"Wandsworth Running","5.41","332","00:27:03","161","195","4.2","166","188","5:00","3:31","9","9","1.20","0.0","No","00:27:03","1","00:26:56","00:42:20","29","33"
Running,2024-06-09 10:14:37,false,"Wandsworth Running","13.13","866","01:14:16","164","191","5.0","165","179","5:39","5:02","34","42","1.07","0.0","No","00:01:29.2","9","01:13:32","01:32:51","5","33"
Running,2024-06-07 13:00:55,false,"Wandsworth Running","5.23","351","00:30:08","149","182","3.8","162","170","5:46","5:05","19","23","1.07","0.0","No","00:02:25.5","4","00:29:53","00:31:57","26","45"
Running,2024-05-02 18:47:50,false,"Wandsworth Running","1.01","65","00:05:35.9","151","162","2.4","165","177","5:33","5:07","--","7","1.09","0.0","No","00:00:01.6","2","00:05:35.2","00:05:35.9","27","38"
Running,2024-05-02 18:24:53,false,"Wandsworth Running","3.00","185","00:16:57","150","182","3.3","164","171","5:39","4:44","12","18","1.08","0.0","No","00:05:36.4","3","00:16:46","00:17:54","26","38"
Running,2024-04-27 12:26:02,false,"Wandsworth Running","7.00","448","00:39:36","170","193","4.9","162","170","5:39","4:50","37","43","0.00","0.0","No","00:05:17.7","8","00:39:22","00:40:59","26","58"
Running,2024-04-24 19:00:15,false,"Wandsworth Running","4.94","321","00:27:08","181","194","4.5","158","175","5:29","3:58","27","34","1.15","0.0","No","00:05:03.1","5","00:25:51","00:27:08","1","14"
Running,2024-04-21 13:20:04,false,"Wandsworth Running","3.01","190","00:16:39","166","189","3.5","164","170","5:32","1:23","8","22","1.10","0.0","No","00:00:01.0","4","00:16:31","00:16:39","21","39"
Running,2024-03-06 19:19:55,false,"Lambeth Running","5.89","317","00:29:56","161","199","4.0","165","175","5:05","4:33","5","12","1.19","0.0","No","00:04:21.1","6","00:29:54","00:34:57","26","38"
Running,2024-02-25 10:33:06,false,"City of Westminster Running","10.23","672","00:54:37","180","199","5.0","171","177","5:20","4:29","140","144","1.10","0.0","No","00:01:03.7","11","00:54:34","00:54:37","11","44"
Running,2024-02-16 13:13:40,false,"Wandsworth Running","1.01","65","00:05:27.8","156","167","2.3","163","172","5:26","4:46","6","--","1.13","0.0","No","00:00:02.4","2","00:05:24","00:05:27.8","28","38"
Running,2024-02-16 12:32:27,false,"Wandsworth Running","3.01","189","00:15:59","160","189","3.3","167","173","5:19","4:51","14","11","1.13","0.0","No","00:00:01.2","4","00:15:51","00:15:59","28","44"
Running,2024-02-14 19:24:10,false,"Wandsworth Running","5.61","352","00:31:03","167","188","4.0","164","172","5:32","4:24","31","35","1.10","0.0","No","00:03:13.0","6","00:30:55","00:36:16","27","52"
Running,2024-02-12 19:14:23,false,"Wandsworth Running","4.82","250","00:23:04","137","157","3.4","170","189","4:47","3:56","5","6","1.23","0.0","No","00:03:36.8","5","00:22:49","00:39:21","29","33"
Running,2024-02-10 13:27:07,false,"Wandsworth Running","1.17","70","00:06:03.4","172","191","2.5","165","180","5:10","4:30","8","5","1.18","0.0","No","00:00:49.5","2","00:05:48","00:08:23.6","28","38"
Running,2024-02-10 12:56:40,false,"Wandsworth Running","5.01","320","00:26:22","178","194","4.5","165","176","5:16","4:30","18","20","1.15","0.0","No","00:00:01.6","6","00:25:53","00:28:43","26","44"
Running,2024-02-07 20:55:21,false,"Wandsworth Running","5.01","305","00:24:51","165","193","4.4","168","175","4:58","3:51","12","21","1.20","0.0","No","00:00:01.1","6","00:24:27","00:24:57","24","45"
Running,2024-02-05 19:23:52,false,"Wandsworth Running","3.92","202","00:18:42","148","191","3.5","166","185","4:46","3:20","7","9","1.26","0.0","No","00:04:07.9","4","00:18:19","00:32:12","29","35"
Running,2024-02-03 11:35:08,false,"Lambeth Running","10.01","632","00:57:47","165","193","5.0","166","176","5:46","4:33","59","65","1.04","0.0","No","00:00:02.6","11","00:57:20","01:00:49","-1","31"
Running,2024-01-31 19:22:57,false,"Wandsworth Running","5.60","359","00:33:42","151","180","4.0","164","175","6:01","4:39","140","37","1.01","0.0","No","00:03:26.5","6","00:33:19","00:37:28","-74","52"
Running,2024-01-29 19:12:41,false,"Wandsworth Running","4.85","266","00:25:25","136","160","3.6","164","197","5:14","3:19","11","9","1.17","0.0","No","00:03:53.8","5","00:25:06","00:45:03","29","33"
Running,2024-01-27 11:44:16,false,"Wandsworth Running","10.01","646","01:00:37","160","180","4.7","164","174","6:04","5:19","48","56","1.01","0.0","No","00:00:01.3","11","01:00:13","01:03:31","19","47"
